alarm_id,timestamp,site_id,severity,alarm_type,description
ALM_0,2025-01-01 14:15:00,SITE_2,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_1,2025-01-02 07:15:00,SITE_15,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_2,2025-01-03 21:45:00,SITE_6,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_3,2025-01-01 04:00:00,SITE_2,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_4,2025-01-02 05:45:00,SITE_33,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_5,2025-01-03 23:45:00,SITE_13,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_6,2025-01-02 04:00:00,SITE_29,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_7,2025-01-01 00:45:00,SITE_49,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_8,2025-01-02 19:30:00,SITE_18,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_9,2025-01-02 19:00:00,SITE_7,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_10,2025-01-01 12:15:00,SITE_23,major,POWER_FAIL,Auto-generated dummy alarm
ALM_11,2025-01-01 05:30:00,SITE_47,major,CPRI_LOS,Auto-generated dummy alarm
ALM_12,2025-01-03 00:15:00,SITE_6,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_13,2025-01-02 22:15:00,SITE_37,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_14,2025-01-01 05:45:00,SITE_43,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_15,2025-01-01 10:00:00,SITE_15,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_16,2025-01-02 11:30:00,SITE_30,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_17,2025-01-01 20:45:00,SITE_24,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_18,2025-01-02 10:00:00,SITE_45,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_19,2025-01-01 21:45:00,SITE_35,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_20,2025-01-01 20:45:00,SITE_30,major,POWER_FAIL,Auto-generated dummy alarm
ALM_21,2025-01-03 23:15:00,SITE_15,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_22,2025-01-01 07:00:00,SITE_15,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_23,2025-01-03 03:15:00,SITE_18,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_24,2025-01-02 16:15:00,SITE_14,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_25,2025-01-03 02:30:00,SITE_42,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_26,2025-01-02 09:45:00,SITE_9,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_27,2025-01-03 06:45:00,SITE_38,major,POWER_FAIL,Auto-generated dummy alarm
ALM_28,2025-01-02 04:00:00,SITE_9,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_29,2025-01-01 11:30:00,SITE_49,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_30,2025-01-01 19:30:00,SITE_41,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_31,2025-01-01 08:00:00,SITE_25,major,LINK_DOWN,Auto-generated dummy alarm
ALM_32,2025-01-03 19:30:00,SITE_17,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_33,2025-01-01 14:30:00,SITE_44,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_34,2025-01-02 19:30:00,SITE_8,major,LINK_DOWN,Auto-generated dummy alarm
ALM_35,2025-01-01 20:00:00,SITE_30,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_36,2025-01-03 16:00:00,SITE_49,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_37,2025-01-02 14:00:00,SITE_41,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_38,2025-01-01 19:30:00,SITE_24,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_39,2025-01-02 17:15:00,SITE_32,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_40,2025-01-02 22:15:00,SITE_20,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_41,2025-01-02 06:45:00,SITE_37,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_42,2025-01-03 14:00:00,SITE_5,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_43,2025-01-01 16:15:00,SITE_43,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_44,2025-01-02 09:45:00,SITE_34,minor,LINK_DOWN,Auto-generated dummy alarm
ALM_45,2025-01-02 03:00:00,SITE_35,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_46,2025-01-02 15:45:00,SITE_26,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_47,2025-01-03 08:00:00,SITE_34,major,CPRI_LOS,Auto-generated dummy alarm
ALM_48,2025-01-02 07:30:00,SITE_15,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_49,2025-01-01 02:30:00,SITE_38,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_50,2025-01-02 04:00:00,SITE_1,critical,CPRI_LOS,Auto-generated dummy alarm
ALM_51,2025-01-02 05:15:00,SITE_5,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_52,2025-01-01 09:00:00,SITE_33,critical,POWER_FAIL,Auto-generated dummy alarm
ALM_53,2025-01-03 14:00:00,SITE_14,minor,VSWR_HIGH,Auto-generated dummy alarm
ALM_54,2025-01-03 12:30:00,SITE_16,major,LINK_DOWN,Auto-generated dummy alarm
ALM_55,2025-01-02 00:15:00,SITE_7,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_56,2025-01-02 21:15:00,SITE_28,major,LINK_DOWN,Auto-generated dummy alarm
ALM_57,2025-01-01 06:45:00,SITE_44,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_58,2025-01-01 07:45:00,SITE_26,minor,POWER_FAIL,Auto-generated dummy alarm
ALM_59,2025-01-01 13:45:00,SITE_16,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_60,2025-01-03 20:30:00,SITE_29,critical,LINK_DOWN,Auto-generated dummy alarm
ALM_61,2025-01-01 23:15:00,SITE_18,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_62,2025-01-01 09:30:00,SITE_29,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_63,2025-01-01 06:15:00,SITE_42,minor,CPRI_LOS,Auto-generated dummy alarm
ALM_64,2025-01-01 11:45:00,SITE_49,critical,VSWR_HIGH,Auto-generated dummy alarm
ALM_65,2025-01-03 04:00:00,SITE_32,major,VSWR_HIGH,Auto-generated dummy alarm
ALM_66,2025-01-03 03:15:00,SITE_4,critical,LINK_DOWN,Auto-generated dummy alarm
