ticket_id,timestamp,customer_id,vip,site_id,category_label,text,severity_reported
TCK_0,1/1/2025 21:00,CUST_369,1,SITE_43,SMS Issue,Customer reported issue with sms,low
TCK_1,1/2/2025 19:00,CUST_423,1,SITE_37,Internet Lag,Customer reported issue with internet,high
TCK_2,1/1/2025 10:00,CUST_395,1,SITE_3,Gaming Lag,Customer reported issue with gaming,low
TCK_3,1/2/2025 9:00,CUST_393,1,SITE_42,Coverage / Sinyal,Customer reported issue with coverage,low
TCK_4,1/3/2025 5:00,CUST_16,1,SITE_40,Gaming Lag,Customer reported issue with gaming,medium
TCK_5,1/3/2025 21:00,CUST_490,1,SITE_19,Gaming Lag,Customer reported issue with gaming,medium
TCK_6,1/3/2025 13:00,CUST_208,1,SITE_16,Gaming Lag,Customer reported issue with gaming,medium
TCK_7,1/3/2025 10:00,CUST_31,1,SITE_5,Gaming Lag,Customer reported issue with gaming,high
TCK_8,1/3/2025 8:00,CUST_238,1,SITE_27,Voice Call Issue,Customer reported issue with voice,high
TCK_9,1/2/2025 19:00,CUST_161,1,SITE_39,Coverage / Sinyal,Customer reported issue with coverage,low
TCK_10,1/2/2025 16:00,CUST_500,1,SITE_47,WA Call Issue,Customer reported issue with wa_call,medium
TCK_11,1/1/2025 16:00,CUST_264,1,SITE_49,WA Call Issue,Customer reported issue with wa_call,low
TCK_12,1/1/2025 13:00,CUST_239,1,SITE_21,Coverage / Sinyal,Customer reported issue with coverage,high
TCK_13,1/2/2025 10:00,CUST_73,1,SITE_29,Coverage / Sinyal,Customer reported issue with coverage,high
TCK_14,1/1/2025 6:00,CUST_443,1,SITE_19,Voice Call Issue,Customer reported issue with voice,low
TCK_15,1/3/2025 5:00,CUST_417,1,SITE_16,Coverage / Sinyal,Customer reported issue with coverage,medium
TCK_16,1/2/2025 16:00,CUST_256,1,SITE_13,Coverage / Sinyal,Customer reported issue with coverage,low
TCK_17,1/3/2025 11:00,CUST_255,1,SITE_32,WA Call Issue,Customer reported issue with wa_call,high
TCK_18,1/1/2025 11:00,CUST_235,1,SITE_26,SMS Issue,Customer reported issue with sms,high
TCK_19,1/2/2025 3:00,CUST_25,1,SITE_38,WA Call Issue,Customer reported issue with wa_call,high
TCK_20,1/2/2025 12:00,CUST_452,1,SITE_32,SMS Issue,Customer reported issue with sms,low
TCK_21,1/3/2025 12:00,CUST_5,1,SITE_19,SMS Issue,Customer reported issue with sms,high
TCK_22,1/3/2025 7:00,CUST_373,1,SITE_9,WA Call Issue,Customer reported issue with wa_call,medium
TCK_23,1/3/2025 3:00,CUST_206,1,SITE_24,Internet Lag,Customer reported issue with internet,high
TCK_24,1/4/2025 0:00,CUST_186,1,SITE_36,Coverage / Sinyal,Customer reported issue with coverage,low
TCK_25,1/2/2025 12:00,CUST_259,1,SITE_5,Voice Call Issue,Customer reported issue with voice,medium
TCK_26,1/3/2025 22:00,CUST_349,1,SITE_18,SMS Issue,Customer reported issue with sms,low
TCK_27,1/1/2025 15:00,CUST_202,1,SITE_9,Internet Lag,Customer reported issue with internet,medium
TCK_28,1/2/2025 19:00,CUST_387,1,SITE_36,WA Call Issue,Customer reported issue with wa_call,high
TCK_29,1/2/2025 1:00,CUST_206,1,SITE_39,SMS Issue,Customer reported issue with sms,low
TCK_30,1/1/2025 5:00,CUST_71,1,SITE_3,Internet Lag,Customer reported issue with internet,low
TCK_31,1/2/2025 18:00,CUST_234,1,SITE_31,SMS Issue,Customer reported issue with sms,high
TCK_32,1/3/2025 17:00,CUST_477,1,SITE_9,WA Call Issue,Customer reported issue with wa_call,low
TCK_33,1/2/2025 16:00,CUST_316,1,SITE_11,Voice Call Issue,Customer reported issue with voice,low
TCK_34,1/2/2025 14:00,CUST_260,1,SITE_38,WA Call Issue,Customer reported issue with wa_call,low
TCK_35,1/3/2025 20:00,CUST_289,1,SITE_32,Gaming Lag,Customer reported issue with gaming,medium
TCK_36,1/3/2025 12:00,CUST_170,1,SITE_2,WA Call Issue,Customer reported issue with wa_call,low
TCK_37,1/1/2025 14:00,CUST_158,1,SITE_27,SMS Issue,Customer reported issue with sms,low
TCK_38,1/1/2025 3:00,CUST_136,1,SITE_39,Voice Call Issue,Customer reported issue with voice,low
TCK_39,1/2/2025 5:00,CUST_299,1,SITE_47,Internet Lag,Customer reported issue with internet,medium
TCK_40,1/1/2025 21:00,CUST_370,1,SITE_34,Gaming Lag,Customer reported issue with gaming,low
TCK_41,1/3/2025 0:00,CUST_125,1,SITE_10,Gaming Lag,Customer reported issue with gaming,high
TCK_42,1/1/2025 14:00,CUST_226,1,SITE_13,Internet Lag,Customer reported issue with internet,medium
TCK_43,1/3/2025 5:00,CUST_354,1,SITE_10,Voice Call Issue,Customer reported issue with voice,high
TCK_44,1/3/2025 4:00,CUST_472,1,SITE_33,SMS Issue,Customer reported issue with sms,medium
TCK_45,1/1/2025 7:00,CUST_266,1,SITE_46,Coverage / Sinyal,Customer reported issue with coverage,high
TCK_46,1/3/2025 23:00,CUST_245,1,SITE_21,Gaming Lag,Customer reported issue with gaming,low
TCK_47,1/3/2025 0:00,CUST_236,1,SITE_21,Coverage / Sinyal,Customer reported issue with coverage,low
TCK_48,1/2/2025 19:00,CUST_347,1,SITE_35,WA Call Issue,Customer reported issue with wa_call,low
TCK_49,1/2/2025 9:00,CUST_99,1,SITE_40,Voice Call Issue,Customer reported issue with voice,high
TCK_50,1/2/2025 11:00,CUST_116,1,SITE_36,WA Call Issue,Customer reported issue with wa_call,medium
TCK_51,1/2/2025 12:00,CUST_354,1,SITE_46,Coverage / Sinyal,Customer reported issue with coverage,low
TCK_52,1/3/2025 14:00,CUST_179,1,SITE_21,Voice Call Issue,Customer reported issue with voice,low
TCK_53,1/2/2025 11:00,CUST_294,1,SITE_19,Internet Lag,Customer reported issue with internet,low
TCK_54,1/3/2025 21:00,CUST_420,1,SITE_25,Voice Call Issue,Customer reported issue with voice,medium
TCK_55,1/1/2025 18:00,CUST_148,1,SITE_19,Internet Lag,Customer reported issue with internet,low
TCK_56,1/1/2025 10:00,CUST_336,1,SITE_23,Voice Call Issue,Customer reported issue with voice,medium
TCK_57,1/3/2025 13:00,CUST_424,1,SITE_14,Coverage / Sinyal,Customer reported issue with coverage,low
TCK_58,1/2/2025 10:00,CUST_140,1,SITE_36,Gaming Lag,Customer reported issue with gaming,high
TCK_59,1/1/2025 13:00,CUST_301,1,SITE_40,Gaming Lag,Customer reported issue with gaming,high
TCK_60,1/2/2025 7:00,CUST_464,1,SITE_4,Gaming Lag,Customer reported issue with gaming,low
TCK_61,1/2/2025 4:00,CUST_27,1,SITE_41,Coverage / Sinyal,Customer reported issue with coverage,high
TCK_62,1/3/2025 4:00,CUST_242,1,SITE_22,Gaming Lag,Customer reported issue with gaming,high
TCK_63,1/1/2025 17:00,CUST_476,1,SITE_1,SMS Issue,Customer reported issue with sms,high
TCK_64,1/3/2025 4:00,CUST_245,1,SITE_42,Voice Call Issue,Customer reported issue with voice,low
TCK_65,1/2/2025 1:00,CUST_165,1,SITE_49,WA Call Issue,Customer reported issue with wa_call,medium
TCK_66,1/1/2025 7:00,CUST_334,1,SITE_50,Internet Lag,Customer reported issue with internet,low
TCK_67,1/2/2025 5:00,CUST_371,1,SITE_35,Gaming Lag,Customer reported issue with gaming,high
TCK_68,1/1/2025 22:00,CUST_479,1,SITE_27,Coverage / Sinyal,Customer reported issue with coverage,high
TCK_69,1/3/2025 2:00,CUST_480,1,SITE_32,Coverage / Sinyal,Customer reported issue with coverage,low
TCK_70,1/2/2025 13:00,CUST_153,1,SITE_3,Internet Lag,Customer reported issue with internet,low
TCK_71,1/1/2025 13:00,CUST_233,1,SITE_22,WA Call Issue,Customer reported issue with wa_call,low
TCK_72,1/3/2025 21:00,CUST_456,1,SITE_34,Voice Call Issue,Customer reported issue with voice,high
TCK_73,1/3/2025 16:00,CUST_99,1,SITE_30,WA Call Issue,Customer reported issue with wa_call,high
TCK_74,1/2/2025 18:00,CUST_235,1,SITE_11,Gaming Lag,Customer reported issue with gaming,low
TCK_75,1/2/2025 8:00,CUST_8,1,SITE_46,Coverage / Sinyal,Customer reported issue with coverage,low
