site_id,lat,lon,azimuth_A,tilt_A,antenna_type,band,sector_count
SITE_1,-0.621545048,111.267506,120,10,Omni,2300,3
SITE_2,-3.182136421,139.3098001,240,10,Omni,900,3
SITE_3,-0.733013498,127.8632924,0,4,Directional,2300,3
SITE_4,0.876856656,123.9335866,120,6,Directional,1800,3
SITE_5,-5.225431412,106.0022205,240,6,Directional,2300,3
SITE_6,-1.53002579,96.62984616,120,8,Omni,1800,3
SITE_7,-3.705988994,138.2637413,120,8,Omni,1800,3
SITE_8,-1.71855276,115.896436,120,8,Directional,2300,3
SITE_9,-1.179194049,97.76667249,0,10,Omni,2300,3
SITE_10,-4.054744485,133.5499251,240,8,Directional,1800,3
SITE_11,-1.71446966,131.786745,120,8,Directional,1800,3
SITE_12,-5.829029687,129.8591849,120,8,Directional,2100,3
SITE_13,0.815612348,116.3511484,120,8,Directional,1800,3
SITE_14,-3.510910973,106.4852183,120,2,Directional,1800,3
SITE_15,-3.260418233,125.8628526,0,2,Directional,900,3
SITE_16,-0.647359992,131.7951566,0,4,Omni,2300,3
SITE_17,-4.994872956,100.1404954,0,10,Omni,1800,3
SITE_18,-2.153730511,108.5169087,120,10,Directional,2100,3
SITE_19,-0.428947873,117.5857122,0,4,Omni,2300,3
SITE_20,-3.664238892,132.4123673,240,4,Omni,2300,3
SITE_21,0.958953675,113.6175843,0,10,Directional,2300,3
SITE_22,-3.622534333,130.6656845,240,2,Omni,2100,3
SITE_23,-4.551993028,111.3240757,240,6,Omni,2300,3
SITE_24,-0.300156222,135.5086962,0,6,Omni,900,3
SITE_25,-6.092598965,95.47665683,0,8,Omni,2300,3
SITE_26,-1.732153108,119.0934509,0,6,Directional,1800,3
SITE_27,-4.308897132,102.5437402,120,8,Directional,1800,3
SITE_28,0.826480902,115.2799268,120,10,Omni,900,3
SITE_29,-3.970789135,132.6356205,0,4,Omni,900,3
SITE_30,-1.778250424,95.79182302,240,10,Omni,900,3
SITE_31,0.397795131,122.5933708,0,4,Omni,2100,3
SITE_32,1.224233319,102.3609216,120,2,Omni,2300,3
SITE_33,-4.521750657,114.5270004,240,10,Omni,900,3
SITE_34,-5.322030623,96.48001827,120,8,Omni,2100,3
SITE_35,-1.63282401,106.4761654,240,2,Directional,900,3
SITE_36,-4.499805722,107.254792,240,8,Directional,1800,3
SITE_37,-4.958850945,126.2757231,120,2,Omni,2300,3
SITE_38,-4.229239457,106.9345574,240,2,Omni,2100,3
SITE_39,-0.011338295,139.8215153,120,10,Directional,2100,3
SITE_40,0.115530033,140.5158816,0,6,Directional,1800,3
SITE_41,-0.786395692,132.9526016,0,10,Omni,2100,3
SITE_42,0.493625712,114.1366314,120,2,Omni,2300,3
SITE_43,-6.078227208,126.2968063,240,10,Directional,2100,3
SITE_44,-2.362064609,132.2471161,0,4,Directional,900,3
SITE_45,0.215426036,121.3317063,120,6,Omni,1800,3
SITE_46,-2.007434637,130.5836668,240,10,Omni,2300,3
SITE_47,-2.145087701,137.8706828,240,2,Directional,1800,3
SITE_48,-4.966705778,130.5249901,0,4,Omni,2300,3
SITE_49,-0.704994781,129.7423572,120,4,Omni,2100,3
SITE_50,-1.901498478,122.6952035,120,8,Omni,2300,3
